,datasetId,dsName,sumFormula,adduct,type
32475,2016-09-22_11h16m26s,North Carolina State University//mouse body,C10H17N3O6S,+H,on
32477,2017-05-16_10h48m33s,Dataset 4,C25H47NO4,+H,on
32478,2017-05-16_10h48m33s,Dataset 4,C21H14O10,+H,off
32479,2017-05-16_10h48m33s,Dataset 4,C25H30O6,+H,off
32480,2017-05-16_10h48m33s,Dataset 4,C10H15N5O10P2,+H,on
32481,2017-05-16_10h48m33s,Dataset 4,C12H16N5O8P,+K,on
32482,2017-05-16_10h48m33s,Dataset 4,C26H40O5,+H,off
32483,2017-05-16_10h48m33s,Dataset 4,C25H40O6,+H,off
32484,2017-05-16_10h48m33s,Dataset 4,C25H30N2O5,+H,on
32485,2017-05-16_10h48m33s,Dataset 4,C26H42O4,+Na,off
32488,2017-05-16_10h48m33s,Dataset 4,C25H42O4,+K,on
32496,2017-05-16_10h48m33s,Dataset 4,C21H44NO7P,+H,on
32498,2017-05-16_10h48m33s,Dataset 4,C21H39O6P,+K,on
32499,2017-05-16_10h48m33s,Dataset 4,C21H14O10,+K,on
32500,2017-05-16_10h48m33s,Dataset 4,C25H32O7,+Na,off
32501,2017-05-16_10h48m33s,Dataset 4,C16H18O13S,+Na,off
32502,2017-05-16_10h48m33s,Dataset 4,C28H50O4,+Na,off
32503,2017-05-16_10h48m33s,Dataset 4,C30H58O2,+Na,off
32504,2017-05-16_10h48m33s,Dataset 4,C21H44NO7P,+Na,off
32512,2017-05-16_10h48m33s,Dataset 4,C27H42O6,+Na,on
32514,2017-05-16_10h48m33s,Dataset 4,C25H22O9,+Na,off
32516,2017-05-16_10h48m33s,Dataset 4,C31H46O3,+Na,off
32521,2017-05-16_10h48m33s,Dataset 4,C23H45O7P,+K,on
32522,2017-05-16_10h48m33s,Dataset 4,C23H41O7P,+K,on
32527,2017-05-16_10h48m33s,Dataset 4,C29H32N7O2,+H,off
32528,2017-05-16_10h48m33s,Dataset 4,C25H47NO8,+Na,off
32530,2017-05-16_10h48m33s,Dataset 4,C34H42O4,+H,off
32532,2017-05-16_10h48m33s,Dataset 4,C32H54O5,+H,off
32536,2017-05-16_10h48m33s,Dataset 4,C29H57NO4,+K,off
32537,2017-05-16_10h48m33s,Dataset 4,C26H54NO7P,+H,on
32538,2017-05-16_10h48m33s,Dataset 4,C32H53N2O4,+H,off
32541,2017-05-16_10h48m33s,Dataset 4,C25H42O11,+Na,on
32542,2017-05-16_10h48m33s,Dataset 4,C26H50NO7P,+Na,on
32544,2017-05-16_10h48m33s,Dataset 4,C10H16MoN5O8PS2,+Na,off
32545,2017-05-16_10h48m33s,Dataset 4,C25H52NO7P,+K,on
32554,2017-05-16_10h48m33s,Dataset 4,C26H54NO7P,+K,on
32555,2017-05-16_10h48m33s,Dataset 4,C15H23N5O14P2,+H,on
32559,2017-05-16_10h48m33s,Dataset 4,C40H56O2,+H,off
32560,2017-05-16_10h48m33s,Dataset 4,C27H32O12,+Na,on
32565,2017-05-16_10h48m33s,Dataset 4,C37H68O4,+Na,on
32569,2017-05-16_10h48m33s,Dataset 4,C30H50NO7P,+K,on
32571,2017-05-16_10h48m33s,Dataset 4,C29H28O15,+H,off
32575,2017-05-16_10h48m33s,Dataset 4,C40H64O3,+Na,on
32576,2017-05-16_10h48m33s,Dataset 4,C37H70O5,+Na,on
32581,2017-05-16_10h48m33s,Dataset 4,C40H64O3,+K,off
32582,2017-05-16_10h48m33s,Dataset 4,C40H50O4,+K,off
32583,2017-05-16_10h48m33s,Dataset 4,C33H56O10,+Na,on
32585,2017-05-16_10h48m33s,Dataset 4,C39H68O5,+Na,on
32587,2017-05-16_10h48m33s,Dataset 4,C35H36ClNO4S,+K,on
32588,2017-05-16_10h48m33s,Dataset 4,C39H70O5,+Na,on
32595,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H34O,+H,on
32596,2016-09-22_11h16m26s,North Carolina State University//mouse body,C12H21NO6,+K,off
32597,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H35NO3,+H,off
32598,2016-09-22_11h16m26s,North Carolina State University//mouse body,C14H14N6O3,+H,off
32599,2016-09-22_11h16m26s,North Carolina State University//mouse body,C16H16N6O,+H,off
32600,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H27NO4,+H,off
32601,2016-09-22_11h16m26s,North Carolina State University//mouse body,C10H12N2O7,+K,off
32603,2016-09-22_11h16m26s,North Carolina State University//mouse body,C9H16N2O5Se,+H,off
32604,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H38O3,+H,off
32605,2016-09-22_11h16m26s,North Carolina State University//mouse body,C16H22O4,+K,off
32610,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H25ClO2,+Na,off
32612,2016-09-22_11h16m26s,North Carolina State University//mouse body,C12H26O7,+K,off
32616,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H20O4,+Na,off
32617,2016-09-22_11h16m26s,North Carolina State University//mouse body,C15H14N2O4,+K,off
32621,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H22O4,+Na,off
32623,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H36O3,+H,off
32627,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H20O5,+Na,off
32628,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H30O5,+H,off
32633,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H32O5,+H,off
32635,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H36O2,+Na,off
32638,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H38O4,+H,on
32640,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H33NO5,+H,off
32641,2016-09-22_11h16m26s,North Carolina State University//mouse body,C8H13N3O7P,+K,off
32645,2016-09-22_11h16m26s,North Carolina State University//mouse body,C14H26N2O3S2,+H,off
32646,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H38O2,+H,on
32647,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H28O3S,+H,on
32650,2016-09-22_11h16m26s,North Carolina State University//mouse body,C16H14ClN3O,+K,off
32651,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H30O3,+Na,on
32652,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H22O5,+Na,off
32653,2016-09-22_11h16m26s,North Carolina State University//mouse body,C15H24O7,+Na,off
32655,2016-09-22_11h16m26s,North Carolina State University//mouse body,C21H40O3,+H,off
32659,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H36O2,+H,on
32660,2016-09-22_11h16m26s,North Carolina State University//mouse body,C10H17N3O6S,+K,on
32661,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H34O3,+Na,off
32663,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H35NO5,+H,off
32665,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H18O4,+H,on
32667,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H23NO2,+K,off
32674,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H22O5,+Na,off
32675,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H34O5,+Na,off
32682,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H40O2,+H,on
32687,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H26O7,+H,on
32689,2016-09-22_11h16m26s,North Carolina State University//mouse body,C16H20N2O8,+H,off
32690,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H26O4,+K,on
32691,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H36O3,+Na,off
32692,2016-09-22_11h16m26s,North Carolina State University//mouse body,C16H18O8S,+H,off
32694,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H28N2O4,+K,off
32696,2016-09-22_11h16m26s,North Carolina State University//mouse body,C25H44O2,+H,off
32699,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H42O3,+H,off
32700,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H18N2O5,+K,off
32702,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H20O7,+Na,off
32704,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H44O4,+H,off
32705,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H23ClO5,+Na,off
32708,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H34O6,+Na,off
32709,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H37O6P,+H,on
32712,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H44O4,+Na,off
32713,2016-09-22_11h16m26s,North Carolina State University//mouse body,C21H26F2O5,+H,off
32715,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H34O5,+Na,off
32717,2016-09-22_11h16m26s,North Carolina State University//mouse body,C14H21NO11,+Na,on
32720,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H18N6,+K,off
32723,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H48O2,+K,on
32724,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H40O5,+H,off
32726,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H17ClN6O3,+Na,off
32727,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H46O,+H,off
32728,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H44O4,+K,off
32735,2016-09-22_11h16m26s,North Carolina State University//mouse body,C17H29NO11,+H,on
32736,2016-09-22_11h16m26s,North Carolina State University//mouse body,C28H54O2,+H,off
32739,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H26O7,+Na,off
32740,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H30O8,+K,off
32741,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H42O6,+Na,off
32743,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H16N6O2S,+Na,on
32744,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H52O2,+H,off
32747,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H43NO4,+K,on
32749,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H56O2,+H,off
32751,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H34O10,+Na,off
32752,2016-09-22_11h16m26s,North Carolina State University//mouse body,C19H34O9,+K,off
32753,2016-09-22_11h16m26s,North Carolina State University//mouse body,C25H49NO5,+H,off
32755,2016-09-22_11h16m26s,North Carolina State University//mouse body,C15H25N3O9S,+Na,off
32757,2016-09-22_11h16m26s,North Carolina State University//mouse body,C27H45NO4,+H,on
32759,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H28O7,+K,off
32760,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H24O12,+Na,off
32762,2016-09-22_11h16m26s,North Carolina State University//mouse body,C22H24N2O6,+K,off
32763,2016-09-22_11h16m26s,North Carolina State University//mouse body,C26H46O6,+H,off
32764,2016-09-22_11h16m26s,North Carolina State University//mouse body,C26H33NO6,+H,off
32766,2016-09-22_11h16m26s,North Carolina State University//mouse body,C20H23N7O6,+H,off
32767,2016-09-22_11h16m26s,North Carolina State University//mouse body,C25H49NO5,+Na,off
32769,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H36NO5S,+Na,off
32772,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H44O7,+Na,off
32776,2016-09-22_11h16m26s,North Carolina State University//mouse body,C21H41O7P,+K,on
32781,2016-09-22_11h16m26s,North Carolina State University//mouse body,C26H34O7,+Na,off
32782,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H48NO7P,+H,on
32786,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H48O4,+Na,off
32791,2016-09-22_11h16m26s,North Carolina State University//mouse body,C18H15Cl3O8,+K,on
32797,2016-09-22_11h16m26s,North Carolina State University//mouse body,C25H31ClN2O7,+H,off
32802,2016-09-22_11h16m26s,North Carolina State University//mouse body,C26H52NO7P,+H,on
32803,2016-09-22_11h16m26s,North Carolina State University//mouse body,C24H40N8O4,+Na,on
32804,2016-09-22_11h16m26s,North Carolina State University//mouse body,C26H55NO7P,+H,off
32805,2016-09-22_11h16m26s,North Carolina State University//mouse body,C27H55O7P,+H,on
32807,2016-09-22_11h16m26s,North Carolina State University//mouse body,C32H65NO3,+Na,on
32812,2016-09-22_11h16m26s,North Carolina State University//mouse body,C28H42Cl2N4O2,+H,off
32814,2016-09-22_11h16m26s,North Carolina State University//mouse body,C33H34N4O3,+H,off
32818,2016-09-22_11h16m26s,North Carolina State University//mouse body,C23H26O15,+H,on
32820,2016-09-22_11h16m26s,North Carolina State University//mouse body,C32H63NO3,+K,on
32824,2016-09-22_11h16m26s,North Carolina State University//mouse body,C35H64O5,+H,on
32827,2016-09-22_11h16m26s,North Carolina State University//mouse body,C34H50O7,+H,on
32830,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H48NO7P,+Na,on
32832,2016-09-22_11h16m26s,North Carolina State University//mouse body,C21H18O16S,+Na,on
32839,2016-09-22_11h16m26s,North Carolina State University//mouse body,C40H56O4,+H,on
32840,2016-09-22_11h16m26s,North Carolina State University//mouse body,C36H68O6,+H,on
32841,2016-09-22_11h16m26s,North Carolina State University//mouse body,C21H18O16S,+K,on
32843,2016-09-22_11h16m26s,North Carolina State University//mouse body,C15H22N2O17P2,+K,on
32844,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H57O8P,+K,on
32846,2016-09-22_11h16m26s,North Carolina State University//mouse body,C36H68O5,+Na,on
32847,2016-09-22_11h16m26s,North Carolina State University//mouse body,C40H68O3,+Na,on
32848,2016-09-22_11h16m26s,North Carolina State University//mouse body,C36H68O6,+Na,on
32849,2016-09-22_11h16m26s,North Carolina State University//mouse body,C32H45N3O4S,+K,off
32851,2016-09-22_11h16m26s,North Carolina State University//mouse body,C37H72O5,+Na,on
32854,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H56O4,+K,on
32855,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H66O5,+H,on
32859,2016-09-22_11h16m26s,North Carolina State University//mouse body,C28H33O16,+Na,on
32860,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H64O5,+H,on
32861,2016-09-22_11h16m26s,North Carolina State University//mouse body,C29H34O16,+Na,on
32866,2016-09-22_11h16m26s,North Carolina State University//mouse body,C35H54O12,+H,on
32867,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H76O5,+H,on
32868,2016-09-22_11h16m26s,North Carolina State University//mouse body,C47H74O2,+H,on
32869,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H70O5,+H,on
32871,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H68O5,+Na,on
32872,2016-09-22_11h16m26s,North Carolina State University//mouse body,C37H71O8P,+H,on
32873,2016-09-22_11h16m26s,North Carolina State University//mouse body,C40H76O5,+K,on
32874,2016-09-22_11h16m26s,North Carolina State University//mouse body,C37H74NO7P,+H,on
32879,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H63NO7,+H,on
32881,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H64O5,+K,on
32883,2016-09-22_11h16m26s,North Carolina State University//mouse body,C38H72NO8P,+H,on
32887,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H76NO7P,+H,on
32891,2016-09-22_11h16m26s,North Carolina State University//mouse body,C46H80O3,+K,on
32892,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H74NO8P,+H,on
32893,2016-09-22_11h16m26s,North Carolina State University//mouse body,C35H56O15,+H,on
32894,2016-09-22_11h16m26s,North Carolina State University//mouse body,C47H70O5,+H,on
32895,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H78NO8P,+H,on
32896,2016-09-22_11h16m26s,North Carolina State University//mouse body,C37H36N2O11,+K,on
32897,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H79NO8,+H,on
32898,2016-09-22_11h16m26s,North Carolina State University//mouse body,C38H76NO8P,+Na,on
32899,2016-09-22_11h16m26s,North Carolina State University//mouse body,C38H71O10P,+Na,on
32901,2016-09-22_11h16m26s,North Carolina State University//mouse body,C37H70O12S,+H,on
32903,2016-09-22_11h16m26s,North Carolina State University//mouse body,C41H76NO8P,+H,on
32904,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H78NO8P,+Na,on
32906,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H75O8P,+K,on
32907,2016-09-22_11h16m26s,North Carolina State University//mouse body,C41H78NO8P,+H,on
32908,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H82N2O6P,+K,on
32910,2016-09-22_11h16m26s,North Carolina State University//mouse body,C41H78NO7P,+Na,on
32913,2016-09-22_11h16m26s,North Carolina State University//mouse body,C36H36O18,+H,on
32914,2016-09-22_11h16m26s,North Carolina State University//mouse body,C41H67O8P,+K,on
32915,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H79NO8,+K,on
32917,2016-09-22_11h16m26s,North Carolina State University//mouse body,C41H71O8P,+K,on
32918,2016-09-22_11h16m26s,North Carolina State University//mouse body,C39H78NO8P,+K,on
32920,2016-09-22_11h16m26s,North Carolina State University//mouse body,C15H12I3NO7S,+K,on
32921,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H86NO7P,+Na,on
32922,2016-09-22_11h16m26s,North Carolina State University//mouse body,C49H86O6,+H,on
32923,2016-09-22_11h16m26s,North Carolina State University//mouse body,C45H73O8P,+H,on
32924,2016-09-22_11h16m26s,North Carolina State University//mouse body,C49H88O6,+H,on
32925,2016-09-22_11h16m26s,North Carolina State University//mouse body,C47H80O7,+Na,on
32926,2016-09-22_11h16m26s,North Carolina State University//mouse body,C49H92O6,+H,on
32927,2016-09-22_11h16m26s,North Carolina State University//mouse body,C45H75O8P,+H,on
32928,2016-09-22_11h16m26s,North Carolina State University//mouse body,C45H77O8P,+H,on
32931,2016-09-22_11h16m26s,North Carolina State University//mouse body,C47H90O6,+K,on
32932,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H76NO7P,+K,on
32935,2016-09-22_11h16m26s,North Carolina State University//mouse body,C45H78NO8P,+H,on
32936,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H64O14,+H,on
32937,2016-09-22_11h16m26s,North Carolina State University//mouse body,C51H84O6,+H,on
32938,2016-09-22_11h16m26s,North Carolina State University//mouse body,C42H78NO8P,+K,on
32939,2016-09-22_11h16m26s,North Carolina State University//mouse body,C45H82NO8P,+H,on
32940,2016-09-22_11h16m26s,North Carolina State University//mouse body,C51H86O6,+H,on
32941,2016-09-22_11h16m26s,North Carolina State University//mouse body,C46H84NO7P,+H,on
32942,2016-09-22_11h16m26s,North Carolina State University//mouse body,C43H82NO8P,+Na,on
32943,2016-09-22_11h16m26s,North Carolina State University//mouse body,C11H13NO4,+Na,off
32945,2016-09-22_11h16m26s,North Carolina State University//mouse body,C11H21NO5,+H,off
32947,2016-09-22_11h16m26s,North Carolina State University//mouse body,C10H20O7,+H,off
32949,2017-03-10_22h54m56s,Borderline14,C7H13NS2,-H,on
32950,2017-03-10_22h54m56s,Borderline14,C7H14O4,+Cl,on
32956,2017-03-10_22h54m56s,Borderline14,C15H30O2,-H,off
32957,2017-03-10_22h54m56s,Borderline14,C15H22O2,-H,off
32958,2017-03-10_22h54m56s,Borderline14,C7H14S3,+Cl,on
32966,2017-03-10_22h54m56s,Borderline14,C19H21NO,-H,on
32968,2017-03-10_22h54m56s,Borderline14,C18H34O2,-H,on
32969,2017-03-10_22h54m56s,Borderline14,C18H32O2,-H,on
32970,2017-03-10_22h54m56s,Borderline14,C16H23NO2,+Cl,off
32971,2017-03-10_22h54m56s,Borderline14,C16H25NO2,+Cl,off
32975,2017-03-10_22h54m56s,Borderline14,C20H32O2,-H,on
32976,2017-03-10_22h54m56s,Borderline14,C20H34O2,-H,on
32977,2017-03-10_22h54m56s,Borderline14,C10H17N3O6S,-H,on
32978,2017-03-10_22h54m56s,Borderline14,C18H13NO4,-H,on
32979,2017-03-10_22h54m56s,Borderline14,C20H36O2,-H,on
32980,2017-03-10_22h54m56s,Borderline14,C20H38O2,-H,on
32982,2017-03-10_22h54m56s,Borderline14,C18H34O2,+Cl,off
32984,2017-03-10_22h54m56s,Borderline14,C19H26N2S,-H,off
32985,2017-03-10_22h54m56s,Borderline14,C16H26O6,-H,off
32986,2017-03-10_22h54m56s,Borderline14,C18H30O3S,-H,off
32987,2017-03-10_22h54m56s,Borderline14,C18H29NO2,+Cl,off
32988,2017-03-10_22h54m56s,Borderline14,C22H32O2,-H,on
32989,2017-03-10_22h54m56s,Borderline14,C22H34O2,-H,on
32990,2017-03-10_22h54m56s,Borderline14,C20H32O2,+Cl,on
32991,2017-03-10_22h54m56s,Borderline14,C22H36O2,-H,on
32992,2017-03-10_22h54m56s,Borderline14,C22H29O3,-H,off
32993,2017-03-10_22h54m56s,Borderline14,C18H30O6,-H,off
32994,2017-03-10_22h54m56s,Borderline14,C19H38O4,+Cl,on
32995,2017-03-10_22h54m56s,Borderline14,C24H40O2,-H,on
32997,2017-03-10_22h54m56s,Borderline14,C11H21NO7S,+Cl,off
32998,2017-03-10_22h54m56s,Borderline14,C24H46O2,-H,on
32999,2017-03-10_22h54m56s,Borderline14,C24H48O2,-H,on
33000,2017-03-10_22h54m56s,Borderline14,C22H37NO2,+Cl,off
33001,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C2H7NO2S,-H,on
33002,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C4H6N2O2,-H,on
33004,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H7NO,-H,on
33007,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C5H8N2O2,-H,on
33009,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H14O2,-H,on
33010,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H13NO2,-H,on
33013,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H13NO2,-H,on
33014,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C3H7NO3,+Cl,on
33018,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H5NO2,-H,on
33019,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C5H10O5,-H,off
33021,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C3H9NO4S,-H,on
33023,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H6N2O3,-H,on
33028,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C4H6N4O3,-H,on
33029,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C9H9NO2,-H,on
33031,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H10O3S,-H,on
33035,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C4H9NO4S,-H,on
33036,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H8N2O3,-H,on
33037,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H11NO3,-H,on
33038,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H7NO4,-H,on
33040,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C12H8O,-H,off
33044,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H22O,-H,on
33046,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H11NO3S,-H,on
33047,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C5H7F3O,+Cl,off
33050,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H13NOS2,-H,on
33051,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H5N5O2,-H,on
33058,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H12N2O4,-H,on
33059,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H20O3,-H,on
33060,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C9H7N3S,-H,off
33063,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H6O7,-H,off
33064,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H7NO3,-H,off
33066,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H14O3,-H,on
33068,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C9H12N2O3,-H,on
33069,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H9N3O4,-H,on
33070,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C14H14O,-H,on
33074,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C13H14O2,-H,on
33077,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H8O5,-H,off
33082,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H11NO4,-H,on
33083,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H10O8,-H,on
33085,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H7NO4S,-H,on
33086,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C14H28O,-H,on
33088,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H8N2O3S,-H,off
33090,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H7Cl2N3,-H,off
33092,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C6H12O6,+Cl,off
33093,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H11NO6,-H,on
33094,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H11NO4S,-H,on
33096,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C12H8O4,-H,off
33101,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H10O5,+Cl,on
33105,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H9NO5,+Cl,off
33113,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C8H6S4,-H,off
33121,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C12H10N2O,+Cl,on
33123,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C14H22N2O,-H,on
33124,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H9N5,+Cl,on
33127,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H12N2O4,-H,on
33128,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H12N2S2,-H,on
33129,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H11NO6S,-H,on
33132,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C7H14N2O5S,-H,on
33133,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H14N2O5,-H,on
33135,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H12N2O5,-H,on
33136,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H9NO6,-H,on
33138,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C13H8O5,-H,off
33143,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C13H14N2O3,-H,off
33145,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C10H8F2O3,+Cl,on
33149,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C17H34O,-H,on
33151,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H10O7,-H,off
33161,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C16H20O3,-H,on
33162,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C13H10O6,-H,off
33171,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C11H12N2O2S2,-H,on
33173,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C12H14O7,-H,off
33174,2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,C15H19N5,-H,on
